Host Site Name,Member ID,Grade,Ace Days Attended,School Days Enrolled,School Days Absent,Criminal Referrals,Non Criminal Referrals,School Day Classes,School Day Classes Passed,Reading Grade,Math Grade,Science Grade,Social Studies Grade
Spring Branch Elementary,1840837,1st,8,94,4,0,0,7,6,D,B,B,D
Spring Branch Elementary,1841055,1st,12,94,8,0,0,7,6,D,B,B,B
Spring Branch Elementary,1841056,1st,55,94,3,0,0,7,7,B,B,B,A
Spring Branch Elementary,1840349,1st,86,94,29,0,0,7,5,F,C,B,B
Spring Branch Elementary,1840353,1st,102,94,3,0,0,7,7,A,A,A,A
Spring Branch Elementary,1840430,1st,6,94,1,0,0,7,5,F,B,B,B
Spring Branch Elementary,1840526,1st,116,94,13,0,0,7,6,D,C,C,D
Spring Branch Elementary,1840386,1st,97,94,19,0,0,7,7,C,B,B,A
Spring Branch Elementary,1840575,1st,106,94,8,0,0,7,4,F,D,C,B
Spring Branch Elementary,1841119,1st,10,94,17,0,0,7,7,D,B,B,B
Spring Branch Elementary,1841118,1st,8,94,0,0,0,7,6,D,C,B,B
Spring Branch Elementary,1840342,1st,70,94,0,0,0,0,0,,,,
Spring Branch Elementary,1840354,1st,92,94,14,0,0,7,7,B,A,A,A
Spring Branch Elementary,1841453,1st,6,94,6,0,0,7,6,D,C,C,B
Spring Branch Elementary,1840355,1st,142,94,10,0,0,7,2,F,F,D,C
Spring Branch Elementary,1841537,1st,2,94,33,0,0,7,6,D,C,B,B
Spring Branch Elementary,1841058,1st,52,94,13,0,0,7,7,D,D,D,D
Spring Branch Elementary,1840973,1st,48,94,13,0,0,7,3,F,B,D,D
Spring Branch Elementary,1841452,1st,6,94,6,0,0,7,6,D,B,B,B
Spring Branch Elementary,1841451,1st,6,94,12,0,0,7,6,D,B,B,B
Spring Branch Elementary,1831657,1st,51,94,7,0,0,7,7,B,B,A,A
Spring Branch Elementary,1840971,1st,51,94,12,0,0,7,4,C,D,F,F
Spring Branch Elementary,1840341,1st,129,94,21,0,0,7,7,D,B,B,A
Spring Branch Elementary,1841059,1st,14,94,16,0,0,7,6,D,C,B,D
Spring Branch Elementary,1841311,1st,9,94,6,0,0,7,7,B,C,B,C
Spring Branch Elementary,1840576,1st,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1840972,1st,55,94,8,0,0,7,1,F,F,F,D
Spring Branch Elementary,1841061,1st,48,94,7,0,0,7,7,C,C,C,C
Spring Branch Elementary,1841069,2nd,54,94,39,0,0,7,6,D,F,B,A
Spring Branch Elementary,1841070,2nd,55,94,2,0,0,7,7,B,B,A,A
Spring Branch Elementary,1837843,2nd,136,94,10,0,0,7,7,D,B,C,C
Spring Branch Elementary,1837500,2nd,129,94,21,0,0,7,2,F,F,D,D
Spring Branch Elementary,1841070,2nd,54,94,14,0,0,7,7,D,A,A,A
Spring Branch Elementary,1837511,2nd,56,94,4,0,0,7,7,D,A,A,A
Spring Branch Elementary,1841072,2nd,50,94,29,0,0,7,3,F,F,D,D
Spring Branch Elementary,1841073,2nd,47,94,4,0,0,7,7,B,D,B,B
Spring Branch Elementary,1841074,2nd,54,94,4,0,0,7,4,F,D,B,A
Spring Branch Elementary,1840348,2nd,79,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841075,2nd,54,94,15,0,0,7,7,D,B,B,B
Spring Branch Elementary,1835020,2nd,121,94,0,0,0,7,7,B,B,B,B
Spring Branch Elementary,1840429,2nd,78,94,8,0,0,7,7,B,B,B,B
Spring Branch Elementary,1837396,2nd,144,94,0,0,0,7,7,A,A,A,A
Spring Branch Elementary,1837392,2nd,106,94,8,0,0,7,7,B,A,A,A
Spring Branch Elementary,1841076,2nd,6,94,20,0,0,7,4,F,F,B,A
Spring Branch Elementary,1835032,2nd,132,94,4,0,0,7,6,D,B,A,A
Spring Branch Elementary,1841077,2nd,53,94,17,0,0,7,3,F,F,B,A
Spring Branch Elementary,1841454,2nd,4,94,5,0,0,7,6,C,F,B,A
Spring Branch Elementary,1841078,2nd,9,94,27,0,0,7,6,D,C,D,D
Spring Branch Elementary,1841079,2nd,56,94,7,0,0,7,7,D,D,B,A
Spring Branch Elementary,1840847,2nd,55,94,27,0,0,7,6,D,C,C,C
Spring Branch Elementary,1839155,2nd,112,94,30,0,0,7,6,C,C,C,D
Spring Branch Elementary,1840384,2nd,103,94,6,0,0,7,7,B,B,B,A
Spring Branch Elementary,1840339,2nd,127,94,14,0,0,7,1,F,F,F,D
Spring Branch Elementary,1837487,2nd,53,94,10,0,0,7,6,D,B,B,B
Spring Branch Elementary,1837394,2nd,55,94,5,0,0,7,2,F,F,B,A
Spring Branch Elementary,1841080,2nd,53,94,9,0,0,7,2,F,F,D,D
Spring Branch Elementary,1837524,3rd,4,94,13,0,0,7,7,C,D,C,B
Spring Branch Elementary,1835011,3rd,86,94,17,0,0,7,1,F,F,F,D
Spring Branch Elementary,1840357,3rd,135,94,3,0,0,7,2,F,F,D,C
Spring Branch Elementary,1840439,3rd,122,94,6,0,0,7,7,B,D,B,C
Spring Branch Elementary,1826485,3rd,56,94,15,0,0,7,7,B,B,A,A
Spring Branch Elementary,1841066,3rd,4,94,0,0,0,0,0,,,,
Spring Branch Elementary,1837517,3rd,44,94,5,0,0,7,7,A,A,A,A
Spring Branch Elementary,1838401,3rd,129,94,2,0,0,7,7,B,B,B,A
Spring Branch Elementary,1840846,3rd,3,94,18,0,0,7,3,F,F,F,C
Spring Branch Elementary,1835028,3rd,147,94,0,0,0,7,7,A,A,A,A
Spring Branch Elementary,1837415,3rd,33,94,17,0,0,8,8,B,B,B,B
Spring Branch Elementary,1837457,3rd,143,94,2,0,0,7,7,B,B,B,A
Spring Branch Elementary,1837403,3rd,3,94,11,0,0,7,7,D,C,B,B
Spring Branch Elementary,1840359,3rd,71,94,0,0,0,0,0,,,,
Spring Branch Elementary,1837523,3rd,142,94,7,0,0,7,7,B,C,C,B
Spring Branch Elementary,1837522,3rd,15,94,17,0,0,7,7,D,C,D,C
Spring Branch Elementary,1843124,3rd,1,94,11,0,0,7,0,F,F,F,F
Spring Branch Elementary,1837519,3rd,15,94,13,0,0,7,1,F,F,F,B
Spring Branch Elementary,1841480,3rd,3,94,15,0,0,7,7,D,D,D,C
Spring Branch Elementary,1840345,3rd,128,94,8,0,0,7,0,F,F,F,F
Spring Branch Elementary,1826684,3rd,93,94,4,0,0,7,7,A,A,A,A
Spring Branch Elementary,1839141,3rd,130,94,13,0,0,7,7,F,D,D,B
Spring Branch Elementary,1835131,3rd,140,94,2,0,0,7,7,A,A,A,A
Spring Branch Elementary,1840361,3rd,7,94,4,0,0,7,7,D,D,C,B
Spring Branch Elementary,1839596,3rd,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1837437,3rd,100,94,17,0,0,7,7,B,C,B,A
Spring Branch Elementary,1839426,3rd,1,94,32,0,0,7,0,F,F,F,F
Spring Branch Elementary,1826203,4th,54,94,19,0,0,7,7,C,C,B,B
Spring Branch Elementary,1827266,4th,51,94,9,0,0,7,5,D,F,D,F
Spring Branch Elementary,1841312,4th,14,94,11,0,0,7,4,D,F,C,C
Spring Branch Elementary,1831846,4th,124,94,0,0,0,7,7,A,A,A,A
Spring Branch Elementary,1841091,4th,51,94,4,0,0,7,4,F,B,C,F
Spring Branch Elementary,1841090,4th,50,94,2,0,0,7,7,C,B,D,B
Spring Branch Elementary,1841083,4th,50,94,23,0,0,7,7,C,D,D,D
Spring Branch Elementary,1826695,4th,52,94,5,0,0,7,7,A,B,B,A
Spring Branch Elementary,1841088,4th,54,94,22,0,0,7,3,F,F,D,C
Spring Branch Elementary,1841081,4th,51,94,10,0,0,7,7,C,B,B,B
Spring Branch Elementary,1826847,4th,137,94,5,0,0,7,7,D,D,D,C
Spring Branch Elementary,1826798,4th,119,94,26,0,0,7,6,D,B,B,B
Spring Branch Elementary,1831844,4th,10,94,9,0,0,7,7,B,B,A,B
Spring Branch Elementary,1841086,4th,2,94,36,0,0,7,7,C,C,C,B
Spring Branch Elementary,1841082,4th,51,94,14,0,0,7,7,B,B,B,B
Spring Branch Elementary,1827478,4th,120,94,17,0,0,7,7,B,B,A,A
Spring Branch Elementary,1837419,4th,131,94,1,0,0,7,7,B,A,A,B
Spring Branch Elementary,1840427,4th,108,94,5,0,0,7,7,B,B,A,A
Spring Branch Elementary,1839741,4th,53,94,0,0,0,7,7,B,C,C,B
Spring Branch Elementary,1841087,4th,9,94,13,0,0,7,7,D,C,C,B
Spring Branch Elementary,1830641,4th,103,94,6,0,0,7,7,B,B,B,A
Spring Branch Elementary,1840356,4th,54,94,8,0,0,7,5,D,F,D,D
Spring Branch Elementary,1837463,4th,50,94,21,0,0,7,7,C,D,D,C
Spring Branch Elementary,1841089,4th,8,94,28,0,0,7,7,C,C,D,B
Spring Branch Elementary,1840834,4th,50,94,17,0,0,7,6,D,C,C,A
Spring Branch Elementary,1835126,4th,93,94,8,0,0,7,7,B,C,C,A
Spring Branch Elementary,1841299,4th,46,94,2,0,0,7,7,D,D,C,B
Spring Branch Elementary,1826696,4th,52,94,3,0,0,7,7,C,C,C,C
Spring Branch Elementary,1837432,4th,52,94,5,0,0,7,5,F,F,D,C
Spring Branch Elementary,1826803,4th,46,94,0,0,0,7,7,C,C,C,B
Spring Branch Elementary,1831258,4th,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1837436,4th,95,94,22,0,0,7,7,A,B,C,B
Spring Branch Elementary,1826823,4th,55,94,2,0,0,7,7,C,C,D,C
Spring Branch Elementary,1837439,4th,38,94,0,0,0,7,7,B,B,A,B
Spring Branch Elementary,1840428,4th,51,94,3,0,0,7,7,B,B,C,B
Spring Branch Elementary,1831981,4th,50,94,25,0,0,7,6,C,F,C,B
Spring Branch Elementary,1832677,5th,50,94,4,0,0,7,7,C,B,C,B
Spring Branch Elementary,1826852,5th,2,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832992,5th,48,94,15,0,0,7,7,C,B,B,B
Spring Branch Elementary,1839715,5th,4,94,16,0,0,7,7,C,C,C,C
Spring Branch Elementary,1827345,5th,49,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832882,5th,138,94,0,0,0,7,7,C,B,B,B
Spring Branch Elementary,1841092,5th,10,94,10,0,0,7,6,C,F,B,B
Spring Branch Elementary,1822126,5th,10,94,1,0,0,7,7,D,B,C,B
Spring Branch Elementary,1826793,5th,116,94,24,0,0,7,7,B,A,B,B
Spring Branch Elementary,1827480,5th,50,94,1,0,0,7,6,D,B,C,C
Spring Branch Elementary,1837496,5th,128,94,10,0,0,7,7,D,B,B,C
Spring Branch Elementary,1827355,5th,142,94,3,0,0,7,7,B,B,A,A
Spring Branch Elementary,1839734,5th,51,94,0,0,0,7,7,C,B,C,B
Spring Branch Elementary,1839719,5th,10,94,12,0,0,7,6,D,D,D,C
Spring Branch Elementary,1826688,5th,51,94,13,0,0,7,7,B,B,B,B
Spring Branch Elementary,1841166,5th,47,94,9,0,0,7,7,B,A,B,A
Spring Branch Elementary,1832885,5th,48,94,0,0,0,7,5,D,C,F,D
Spring Branch Elementary,1826652,5th,48,94,1,0,0,7,7,D,D,C,C
Spring Branch Elementary,1835128,5th,79,94,11,0,0,7,7,B,B,B,B
Spring Branch Elementary,1835150,5th,81,94,10,0,0,7,7,C,B,C,C
Spring Branch Elementary,1831259,5th,56,94,0,0,0,0,0,,,,
Spring Branch Elementary,1831257,5th,55,94,0,0,0,0,0,,,,
Spring Branch Elementary,1832676,5th,3,94,13,0,0,7,7,D,D,C,B
Spring Branch Elementary,1837510,5th,49,94,28,0,0,7,4,D,D,F,F
Spring Branch Elementary,1841106,Kindergarten,6,94,0,0,0,0,0,,,,
Spring Branch Elementary,1827198,Kindergarten,5,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841121,Kindergarten,49,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841117,Kindergarten,1,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841098,Kindergarten,54,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841107,Kindergarten,51,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841536,Kindergarten,2,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841062,Kindergarten,8,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841063,Kindergarten,4,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841064,Kindergarten,54,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841065,Kindergarten,53,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841212,Kindergarten,46,94,0,0,0,0,0,,,,
Spring Branch Elementary,1841108,Kindergarten,53,94,0,0,0,0,0,,,,
