HostSiteName,Year,Term,UID,Grade,ACE Days Attended,SchoolDaysAbsent,CriminalReferrals,NonCriminalReferrals,SchoolDayClasses,SchoolDayClassesPassed,StudentOverallGrades,ReadingGrade,MathGrade,ScienceGrade,SocialStudiesGrade,Promotion,Graduated,Advocate,Extracurricular,Comment
Woodview Elementary,2021,Spring,1837125,4th,108,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841217,2nd,54,94,0,0,0,0,D's,F,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1839593,4th,90,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840777,2nd,82,94,0,0,0,0,C's,B,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840347,3rd,144,94,0,0,0,0,B's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839264,5th,63,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840343,2nd,138,94,0,0,0,0,C's,D,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,184010,2nd,140,94,0,0,0,0,D's,F,D,D,B,0,0,0,0,
Woodview Elementary,2021,Spring,1826722,4th,116,94,0,0,0,0,C's,C,C,C,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837079,3rd,117,94,0,0,0,0,C's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840853,4th,64,94,0,0,0,0,C's,C,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1836935,4th,116,94,0,0,0,0,D's,D,D,F,D,0,0,0,0,
Woodview Elementary,2021,Spring,1839997,1st,119,94,0,0,0,0,D's,F,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1837080,3rd,103,94,0,0,0,0,C's,C,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840742,4th,103,94,0,0,0,0,D's,C,F,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840856,5th,61,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840860,3rd,67,94,0,0,0,0,A's,A,A,A,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838659,3rd,141,94,0,0,0,0,C's,B,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839099,3rd,89,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1831763,5th,101,94,0,0,0,0,B's,B,B,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838176,5th,64,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837485,3rd,91,94,0,0,0,0,C's,C,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840316,2nd,138,94,0,0,0,0,B's,D,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837641,4th,63,94,0,0,0,0,B's,B,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837640,3rd,64,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840598,3rd,110,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1839421,4th,64,94,0,0,0,0,B's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837481,3rd,96,94,0,0,0,0,C's,D,F,B,D,0,0,0,0,
Woodview Elementary,2021,Spring,1830816,5th,95,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1840858,3rd,65,94,0,0,0,0,C's,C,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839161,3rd,131,94,0,0,0,0,Mostly B's and C's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838744,5th,128,94,0,0,0,0,D's,D,F,C,D,0,0,0,0,
Woodview Elementary,2021,Spring,1841346,2nd,37,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841347,3rd,37,94,0,0,0,0,B's,C,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841186,3rd,59,94,0,0,0,0,F's,F,F,D,D,0,0,0,0,
Woodview Elementary,2021,Spring,1840774,4th,96,94,0,0,0,0,C's,B,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1837756,4th,58,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837661,5th,66,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1839430,3rd,143,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840401,3rd,133,94,0,0,0,0,C's,C,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840418,5th,103,94,0,0,0,0,C's,C,D,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1818885,4th,138,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840419,5th,105,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839520,5th,98,94,0,0,0,0,B's,D,B,B,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840861,4th,77,94,0,0,0,0,B's,A,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1833972,4th,76,94,0,0,0,0,B's,A,B,C,A,0,0,0,0,
Woodview Elementary,2021,Spring,1841350,3rd,32,94,0,0,0,0,B's,D,A,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839072,4th,54,94,0,0,0,0,D's,D,F,D,F,0,0,0,0,
Woodview Elementary,2021,Spring,1841184,2nd,60,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837587,4th,32,94,0,0,0,0,B's,B,D,C,D,0,0,0,0,
Woodview Elementary,2021,Spring,1837255,4th,122,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839640,4th,110,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840863,3rd,100,94,0,0,0,0,C's,F,D,B,C,0,0,0,0,
Woodview Elementary,2021,Spring,1837120,4th,129,94,0,0,0,0,C's,C,B,B,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840385,4th,59,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840632,3rd,117,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1833978,2nd,22,94,0,0,0,0,D's,C,D,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1839418,3rd,59,94,0,0,0,0,C's,C,D,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840631,2nd,119,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1836926,3rd,142,94,0,0,0,0,B's,B,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840311,2nd,131,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1837513,3rd,130,94,0,0,0,0,A's,A,A,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,100089053,2nd,57,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1837132,4th,61,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837086,3rd,112,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1837087,3rd,113,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1826406,5th,113,94,0,0,0,0,C's,D,D,C,D,0,0,0,0,
Woodview Elementary,2021,Spring,1833983,4th,98,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840630,2nd,116,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837390,5th,60,94,0,0,0,0,D's,F,C,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1840351,4th,121,94,0,0,0,0,D's,C,D,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1841490,4th,24,94,0,0,0,0,F's,D,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1831045,5th,135,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840695,2nd,113,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1837660,5th,52,94,0,0,0,0,C's,C,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1841394,3rd,33,94,0,0,0,0,C's,D,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1833304,3rd,111,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840855,5th,84,94,0,0,0,0,C's,D,F,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840864,4th,87,94,0,0,0,0,C's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841310,3rd,52,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841169,4th,60,94,0,0,0,0,D's,B,F,F,D,0,0,0,0,
Woodview Elementary,2021,Spring,1830829,5th,100,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1841144,4th,62,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840862,3rd,59,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841218,4th,55,94,0,0,0,0,C's,B,C,D,C,0,0,0,0,
Woodview Elementary,2021,Spring,1826968,5th,35,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840694,4th,98,94,0,0,0,0,B's,A,C,C,A,0,0,0,0,
Woodview Elementary,2021,Spring,1827177,5th,35,94,0,0,0,0,C's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840854,5th,62,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1837967,5th,61,94,0,0,0,0,F's,F,F,D,F,0,0,0,0,
Woodview Elementary,2021,Spring,1840772,2nd,97,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1830901,5th,70,94,0,0,0,0,B's,B,A,A,B,0,0,0,0,
Woodview Elementary,2021,Spring,1841351,5th,35,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,1830818,5th,59,94,0,0,0,0,F's,F,F,D,F,0,0,0,0,
Woodview Elementary,2021,Spring,1838178,3rd,139,94,0,0,0,0,B's,B,A,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840340,2nd,138,94,0,0,0,0,C's,F,D,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1838180,4th,140,94,0,0,0,0,B's,C,C,B,C,0,0,0,0,
Woodview Elementary,2021,Spring,1838181,4th,141,94,0,0,0,0,B's,B,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1840552,2nd,106,94,0,0,0,0,F's,F,F,F,D,0,0,0,0,
Woodview Elementary,2021,Spring,1840553,3rd,104,94,0,0,0,0,B's,C,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1833169,5th,106,94,0,0,0,0,A's,A,A,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840859,2nd,67,94,0,0,0,0,D's,D,F,D,D,0,0,0,0,
Woodview Elementary,2021,Spring,1841143,5th,63,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1841393,2nd,33,94,0,0,0,0,D's,D,C,D,D,0,0,0,0,
Woodview Elementary,2021,Spring,1837091,3rd,20,94,0,0,0,0,B's,B,B,C,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840946,2nd,84,94,0,0,0,0,C's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,1834001,4th,31,94,0,0,0,0,B's,A,C,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,1841185,4th,60,94,0,0,0,0,F's,C,F,F,C,0,0,0,0,
Woodview Elementary,2021,Spring,1840776,2nd,70,94,0,0,0,0,C's,D,B,B,C,0,0,0,0,
Woodview Elementary,2021,Spring,1826442,5th,145,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1840318,3rd,145,94,0,0,0,0,B's,C,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,1830820,5th,60,94,0,0,0,0,D's,C,C,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,1826854,4th,66,94,0,0,0,0,B's,B,B,A,B,0,0,0,0,
Woodview Elementary,2021,Spring,1839420,5th,65,94,0,0,0,0,D's,D,C,C,F,0,0,0,0,
Woodview Elementary,2021,Spring,1841142,3rd,64,94,0,0,0,0,A's,A,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,1837502,3rd,64,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,100089101,4th,52,94,0,0,0,0,D's,C,C,F,C,0,0,0,0,
Woodview Elementary,2021,Spring,100089103,2nd,50,94,0,0,0,0,B's,D,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,2596362694,3rd,137,94,0,0,0,0,B's,B,B,B,A,0,0,0,0,
Woodview Elementary,2021,Spring,5324955914,3rd,98,94,0,0,0,0,C's,B,C,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,100088831,4th,71,94,0,0,0,0,B's,B,B,B,B,0,0,0,0,
Woodview Elementary,2021,Spring,100089102,4th,52,94,0,0,0,0,C's,B,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,5837463577,5th,58,94,0,0,0,0,C's,B,D,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,100089055,3rd,59,94,0,0,0,0,D's,D,D,C,D,0,0,0,0,
Woodview Elementary,2021,Spring,8352738194,5th,0,94,0,0,0,0,F's,F,F,F,F,0,0,0,0,
Woodview Elementary,2021,Spring,4312414343,4th,60,94,0,0,0,0,B's,B,C,C,B,0,0,0,0,
Woodview Elementary,2021,Spring,8424237358,5th,109,94,0,0,0,0,A's,B,A,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,4163217886,5th,134,94,0,0,0,0,A's,A,B,A,A,0,0,0,0,
Woodview Elementary,2021,Spring,8523268219,4th,59,94,0,0,0,0,C's,C,C,C,C,0,0,0,0,
Woodview Elementary,2021,Spring,100089273,2nd,17,94,0,0,0,0,B's,C,B,B,B,0,0,0,0,
