Comet ID ,Club ID,Grade,Number of School Days Fall Semester ,Math ,English Reading ,Conduct 
1852062,WV002301 ,1st ,81,B,B,S
1850839,WV002302,1st ,81,B,B,E
1851937,WV002303,1st ,81,A,A,S
1851849,WV002304,1st ,81,A,B,E
1852888,WV002305,1st ,81,C,C,E
1853771,WV002306,1st ,81,C,F,S
1845379,WV002307,1st ,81,B,B,E
1853933,WV002308,1st ,81,B,B,S
1854594,WV002309,1st ,81,A,B,S
1854225,WV002310 ,1st ,81,B,C,S
1845354,WV002311 ,1st ,81,A,B,S
1851702,WV002312,1st ,81,B,A,E
1851899,WV002313,1st ,81,A,A,S
1851900,WV002314,1st ,81,C,C,E
1852388,WV002315 ,1st ,81,B,A,E
1845530,WV002316 ,1st ,81,B,B,E
1852383,WV002317,1st ,81,C,B,E
1851905,WV002318 ,1st ,81,C,C,E
1854687,WV002319 ,1st ,81,C,D,S
1852681,WV002320 ,1st ,81,A,C,S
1852958,WV002321 ,1st ,81,D,F,E
1845591,WV002322 ,1st ,81,F,D,S
1851906,WV002323 ,1st ,81,D,C,S
1851898,WV002324 ,1st ,81,C,F,S
1845362,WV002325 ,2nd ,81,F,D,S
1851898,WV002326 ,2nd ,81,F,D,E
1852069,WV002327,2nd ,81,B,D,S
1845379,WV002328 ,2nd ,81,B,B,S
1852695,WV002329 ,2nd ,81,F,F,S
1855461,WV002330,2nd ,81,B,D,S
1851908,WV002331,2nd ,81,B,A,S
1847783,WV002332,2nd ,81,B,B,S
1853533,WV002333,2nd ,81,D,F,E
1847283,WV002334,2nd ,81,A,C,E
1848821,WV002335,2nd ,81,A,B,S
1845529,WV002336,2nd ,81,A,C,E
1848610,WV002337,2nd ,81,A,B,E
1851897,WV002338,2nd ,81,B,C,S
1852913,WV002339,2nd ,81,C,C,E
1854080,WV002340,2nd ,81,B,C,S
1845356,WV002341,2nd ,81,F,D,S
1852834,WV002342,2nd ,81,B,C,S
1852382,WV002343,2nd ,81,D,B,E
1852387,WV002344,2nd ,81,B,D,S
1852064,WV002345,2nd ,81,B,D,S
1852381,WV002346,2nd ,81,A,B,E
1846019,WV002347,2nd ,81,A,B,S
1853030,WV002348,2nd ,81,D,D,E
1852272,WV002349,2nd ,81,C,C,S
1851855,WV002350,2nd ,81,C,F,S
1840115,WV002351,2nd ,81,B,C,E
1852068,WV002352,2nd ,81,B,C,S
1845363,WV002353,2nd ,81,A,A,E
1849246,WV002354,3rd,81,B,D,S
1845456,WV002355,3rd,81,B,D,S
1853810,WV002356,3rd,81,B,A,E
1845877,WV002357,3rd,81,D,B,S
1851936,WV002358,3rd,81,A,B,S
1852696,WV002359,3rd,81,F,F,S
1852588,WV002360,3rd,81,A,C,S
1845680,WV002361,3rd,81,B,B,S
1847284,WV002362,3rd,81,A,B,S
1842094,WV002363,3rd,81,B,C,S
1849982,WV002364,3rd,81,B,A,S
1855414,WV002365,3rd,81,A,B,S
1847670,WV002366,3rd,81,F,D,S
1845781,WV002367,3rd,81,B,D,S
1842639,WV002368,3rd,81,F,D,S
1845367,WV002369,3rd,81,F,D,S
1845589,WV002370,3rd,81,B,B,E
1854408,WV002371,3rd,81,A,B,S
1854408,WV002372,3rd,81,A,B,S
1855285,WV002373,3rd,81,F,C,S
1852948,WV002374,3rd,81,B,C,S
1847667,WV002375,3rd,81,D,D,S
1855287,WV002376,3rd,81,C,C,S
1852070,WV002377,3rd,81,A,A,E
1855302,WV002378,3rd,81,B,D,S
1845371,WV002379,3rd,81,B,D,S
1841974,WV002380,3rd,81,B,D,S
1852774,WV002381,3rd,81,F,D,S
1842096,WV002382,3rd,81,A,C,S
1845372,WV002383,3rd,81,C,B,S
1845372,WV002384,3rd,81,C,B,S
1841763,WV002385,3rd,81,F,D,E
1852682,WV002386,3rd,81,A,B,S
1846717,WV002387,3rd,81,F,F,S
1852067,WV002388,3rd,81,D,C,S
1852067,WV002389,3rd,81,D,C,S
1841951,WV002390,3rd,81,D,D,S
1846424,WV002391 ,3rd,81,A,C,S
1852380,WV002392,3rd,81,B,C,S
1853029,WV002393,3rd,81,B,B,E
1841963,WV002394,3rd,81,C,C,S
1841217,WV002395,4th,81,B,C,S
1847436,WV002396,4th,81,B,B,S
1842432,WV002397,4th,81,B,B,S
1840310,WV002398,4th,81,C,C,S
1839997,WV002399,4th,81,B,C,S
1842445,WV0023100,4th,81,B,C,S
1852857,WV0023101,4th,81,C,B,E
1854506,WV0023102,4th,81,B,B,S
1845355,WV0023103,4th,81,B,C,S
1841043,WV0023104,4th,81,C,C,S
1855462,WV0023105,4th,81,C,F,S
1852705,WV0023106,4th,81,A,B,S
1836970,WV0023107,4th,81,C,C,S
1845494,WV0023108,4th,81,C,B,S
1841523,WV0023109,4th,81,C,C,E
1840631,WV0023110,4th,81,A,C,E
1845352,WV0023111,4th,81,C,C,S
1842068,WV0023112,4th,81,B,B,E
1840030,WV0023113,4th,81,B,C,S
1855916,WV0023114,4th,81,B,A,S
1841981,WV0023115,4th,81,A,C,S
1840630,WV0023116,4th,81,C,B,S
1852384,WV0023117,4th,81,D,C,S
1846726,WV0023118,4th,81,B,B,S
1851622,WV0023119,4th,81,B,A,E
1855158,WV0023120,4th,81,B,B,E
1854688,WV0023121,4th,81,B,B,S
1852086,WV0023122,4th,81,C,C,S
1855481,WV0023123,4th,81,A,B,S
1845368,WV0023124,4th,81,F,B,S
1852065,WV0023125,4th,81,A,A,S
1855301,WV0023126,4th,81,B,A,S
1840547,WV0023127,4th,81,F,D,S
1852817,WV0023128,4th,81,A,A,E
1840859,WV0023129,4th,81,B,F,S
1851904,WV0023130,4th,81,C,B,S
1855286,WV0023131,4th,81,B,C,S
1851896,WV0023132,4th,81,C,B,S
1852266,WV0023133,4th,81,C,B,S
1845384,WV0023134,4th,81,C,C,S
1852771,WV0023135,4th,81,B,C,S
1835898,WV0023136,4th,81,A,A,S
1853525,WV0023137,4th,81,B,C,S
1840857,WV0023138,4th,81,C,D,S
1841972,WV0023139,4th,81,B,C,S
1841948,WV0023140,4th,81,A,B,S
1842647,WV0023141,4th,81,C,C,E
1851850,WV0023142,5th,81,F,D,S
1840347,WV0023143,5th,81,F,B,E
1837079,WV0023144,5th,81,B,C,S
1855415,WV0023145,5th,81,F,B,S
1837080,WV0023146,5th,81,C,B,S
1852859,WV0023147,5th,81,B,B,S
1837485,WV0023148,5th,81,C,B,S
1840401,WV0023149,5th,81,F,C,S
1848003,WV0023150,5th,81,B,C,E
1846559,WV0023151,5th,81,B,C,S
1837085,WV0023152,5th,81,B,B,S
1852379,WV0023153,5th,81,F,B,S
1845466,WV0023154,5th,81,C,B,S
1836969,WV0023155,5th,81,A,A,E
1839037,WV0023156,5th,81,C,B,E
1845389,WV0023157,5th,81,B,A,S
1840632,WV0023158,5th,81,B,A,E
1845459,WV0023159,5th,81,F,C,S
1852336,WV0023160,5th,81,B,B,S
1845516,WV0023161,5th,81,B,B,E
1852885,WV0023162,5th,81,C,A,E
1837069,WV0023163,5th,81,B,A,S
1837960,WV0023164,5th,81,B,A,E
1845590,WV0023165,5th,81,A,B,S
1833304,WV0023166,5th,81,C,C,S
1838082,WV0023167,5th,81,C,A,S
1846430,WV0023168,5th,81,C,B,E
1838536,WV0023169,5th,81,A,A,S
1837624,WV0023170,5th,81,B,B,S
1851910,WV0023171,5th,81,F,C,E
1845368,WV0023172,5th,81,F,B,S
1837063,WV0023173,5th,81,A,B,E
1838178,WV0023174,5th,81,A,A,E
1851992,WV0023175,5th,81,B,B,S
1840553,WV0023176,5th,81,C,B,S
1847363,WV0023177,5th,81,A,A,E
1841068,WV0023178,5th,81,B,B,S
1840318,WV0023179,5th,81,B,A,S
1846429,WV0023180,5th,81,F,B,S
1852385,WV0023181,5th,81,F,D,E
1840361,WV0023182,5th,81,A,A,E
1854300,WV0023183,5th,81,B,A,E
1837115,WV0023184,5th,81,B,A,S
1840775,WV0023185,5th,81,C,A,E
1855309,WV0023186,5th,81,C,B,E
